id,y_pred,y_score
seq_4526|1,1,0.9188544621207694
seq_2996|1,0,0.3582405851172399
seq_3669|1,1,0.9016470158804835
seq_5220|1,1,0.9566633126027494
seq_1970|1,1,0.8764526406351465
seq_4340|1,1,0.9639183771507309
seq_842|1,1,0.7660414998178209
seq_3593|1,0,0.41223299651220763
seq_5920|1,1,0.9405364690268612
seq_2611|1,1,0.9789842337196918
seq_308|1,1,0.8416990653241199
seq_1900|1,1,0.9970217767759528
seq_2700|1,0,0.0256166434993143
seq_678|1,1,0.8131294028854272
seq_3792|1,1,0.9763996134887254
seq_626|1,1,0.8494796264886822
seq_2032|1,1,0.8935375910024977
seq_3637|1,1,0.9710266528031614
seq_2315|1,1,0.8497320619225941
seq_5569|1,1,0.978241949834505
seq_5019|1,1,0.9632278224138163
seq_3202|1,1,0.9754687453488958
seq_3909|1,1,0.8569777926079729
seq_434|1,1,0.9913309899717775
seq_3676|1,1,0.7850627563257727
seq_3383|1,1,0.8680916065464176
seq_3653|1,0,0.08172222140404299
seq_4129|1,1,0.8644533517500201
seq_5672|1,0,0.3309628762044069
seq_247|1,1,0.8978983077541751
seq_1628|1,1,0.8517281759790071
seq_620|1,1,0.942877608822717
seq_5702|1,1,0.9113387269714537
seq_5898|1,1,0.9521927125227323
seq_4652|1,1,0.7422609658083231
seq_784|1,1,0.9817491624630961
seq_4153|1,1,0.9592035581637324
seq_1735|1,1,0.9507120571424447
seq_4914|1,1,0.9592715336233174
seq_4438|1,1,0.8617411183320627
seq_822|1,1,0.8976618125368259
seq_2977|1,1,0.8266742926837467
seq_5341|1,1,0.5594473587646853
seq_1370|1,1,0.7295064430096231
seq_5295|1,1,0.6663886358390346
seq_1815|1,1,0.8810516270957418
seq_3630|1,1,0.502471807168641
seq_1945|1,1,0.5785711935085112
seq_3236|1,1,0.826193615353626
seq_3933|1,1,0.596158059368205
seq_1277|1,1,0.9164635052118606
seq_4404|1,1,0.8920707309249523
seq_3388|1,1,0.9414696332123254
seq_3560|1,0,0.2905251390587095
seq_4075|1,1,0.8890651650961301
seq_3395|1,1,0.7740794306382105
seq_5340|1,1,0.8974511722090763
seq_5499|1,1,0.9790924852190852
seq_1442|1,1,0.9176859427684301
seq_4051|1,1,0.954310111800092
seq_4184|1,1,0.857764893055786
seq_5652|1,1,0.9165083663477681
seq_5657|1,1,0.8429555682478708
seq_4712|1,1,0.942466011630996
seq_1870|1,0,0.06683949152629709
seq_4385|1,1,0.972926930360292
seq_4878|1,1,0.9568849840029731
seq_1762|1,1,0.8029089574825626
seq_1875|1,1,0.8626391715825632
seq_3253|1,1,0.8216830136627319
seq_1558|1,1,0.8656022191228934
seq_5061|1,1,0.8819032039927251
seq_3647|1,1,0.9156027609143124
seq_1327|1,1,0.9114417919874817
seq_2565|1,1,0.896714247940025
seq_5106|1,1,0.9283987932877178
seq_3822|1,1,0.5299682418388676
seq_3760|1,0,0.3627608633521541
seq_623|1,1,0.8309910956600801
seq_1910|1,1,0.9918478733862874
seq_2617|1,1,0.9151659086397237
seq_461|1,1,0.8877050558350965
seq_5766|1,1,0.9671864895204155
seq_3561|1,0,0.11933951424460315
seq_505|1,1,0.7355862772680547
seq_5684|1,1,0.7490478121024741
seq_1968|1,1,0.9200648625975363
seq_5754|1,1,0.972429468282296
seq_5313|1,1,0.7832345751058317
seq_2574|1,0,0.14130082793806936
seq_3529|1,0,0.3649227266216831
seq_2195|1,1,0.9463081715706309
seq_3925|1,1,0.8904160971428781
seq_1117|1,1,0.8566907529352579
seq_2279|1,1,0.9302850943850028
seq_494|1,1,0.9429471389847989
seq_5708|1,1,0.8057196783653626
seq_719|1,1,0.975824776165599
seq_1384|1,1,0.9756071452331917
seq_5949|1,1,0.7739871838516836
seq_2225|1,0,0.3025688469529859
seq_3112|1,1,0.9387517104934765
seq_5590|1,1,0.828926244937483
seq_98|1,1,0.8182378139347809
seq_1868|1,0,0.36160763420334446
seq_3235|1,0,0.36797952414728147
seq_5278|1,1,0.7921084054354699
seq_903|1,0,0.1500221733420761
seq_1534|1,1,0.788896805108752
seq_251|1,1,0.9852648473894864
seq_157|1,1,0.9591235813622179
seq_5707|1,1,0.950073690842392
seq_3769|1,0,0.49473884489886244
seq_896|1,1,0.8629549169910345
seq_987|1,1,0.9059763366954662
seq_573|1,1,0.9233331537366026
seq_990|1,0,0.4707743497529483
seq_1260|1,1,0.7509070330712935
seq_4725|1,1,0.8830669214280974
seq_4550|1,1,0.9578487075209745
seq_4570|1,1,0.9819085436243965
seq_1174|1,1,0.9721700788771538
seq_5405|1,1,0.7886040756063036
seq_444|1,1,0.903397841494008
seq_5190|1,1,0.8709598156633981
seq_2649|1,0,0.34292095208941376
seq_1243|1,1,0.9600560180237075
seq_5628|1,1,0.8174993237037019
seq_3642|1,1,0.7075228863113593
seq_5637|1,1,0.9640759305069841
seq_5012|1,1,0.9932920540625818
seq_1543|1,1,0.8496632388770712
seq_2480|1,1,0.9938213978082326
seq_2982|1,1,0.9800827064135353
seq_475|1,1,0.5816419251463034
seq_3633|1,0,0.025866036048034575
seq_3411|1,1,0.8374999415564605
seq_5462|1,1,0.6963897558478365
seq_682|1,1,0.987410876883275
seq_4594|1,1,0.8630282914246197
seq_1846|1,1,0.8746357100687555
seq_2253|1,1,0.8723191135701451
seq_5951|1,1,0.939438304405874
seq_151|1,1,0.8499686288071343
seq_5697|1,1,0.8627143679744452
seq_2276|1,1,0.9451450649589187
seq_1270|1,1,0.9159234563814286
seq_5510|1,1,0.8376974115960418
seq_642|1,1,0.87473457578562
seq_1797|1,1,0.8100689781577688
seq_4598|1,1,0.8890326265367278
seq_3557|1,1,0.9763954862541194
seq_3307|1,1,0.891434242128532
seq_2077|1,1,0.9736105065977096
seq_3107|1,1,0.9978389977210106
seq_4825|1,1,0.8057956568389008
seq_2951|1,1,0.9340435771151361
seq_5460|1,1,0.7521513051140764
seq_5811|1,1,0.7701193000930598
seq_3846|1,1,0.8027935139046938
seq_5456|1,1,0.8416689635304985
seq_2543|1,1,0.7599105584722884
seq_4552|1,1,0.99004489692121
seq_81|1,0,0.08292466288172197
seq_2555|1,1,0.7161593095435219
seq_5440|1,1,0.905287950859602
seq_4111|1,1,0.6236407058316125
seq_5424|1,0,0.2334851038730706
seq_1217|1,1,0.9784615165085274
seq_1732|1,1,0.9159021178793384
seq_2485|1,1,0.9387278274635967
seq_591|1,1,0.9934831535655314
