id,y_pred,y_score
seq_55|1,1,0.6064348902332427
seq_2|1,0,0.4322849196740045
seq_943|1,1,0.9903865671624904
seq_847|1,1,0.9818868395177003
seq_1602|1,1,0.8656919699543881
seq_66|1,1,0.9756927777140143
seq_2491|1,1,0.9928712941411668
seq_1071|1,1,0.7727469208125167
seq_1022|1,0,0.3161149088526116
seq_1351|1,1,0.8760928585612046
seq_2831|1,1,0.7627109284166325
seq_1140|1,0,0.3561995718829725
seq_2006|1,1,0.8103614935665263
seq_1401|1,1,0.9524138077541059
seq_2723|1,1,0.9027168737091157
seq_2499|1,1,0.9781643707783082
seq_2358|1,1,0.9435891726898823
seq_730|1,1,0.9082864636493162
seq_2116|1,1,0.9914299544074002
seq_2316|1,1,0.9503242502182659
seq_88|1,0,0.36494415947486186
seq_133|1,1,0.9275555427902057
seq_1816|1,1,0.8381161351455734
seq_1335|1,1,0.8457160705093969
seq_500|1,1,0.984662244239069
seq_1648|1,1,0.7980346726281887
seq_752|1,1,0.9058458270171392
seq_1181|1,1,0.9629009979524406
seq_2953|1,1,0.9873759387395309
seq_2886|1,1,0.9279722975425524
seq_1101|1,1,0.9402469861449765
seq_236|1,1,0.9595930988244514
seq_2053|1,1,0.8742284186115864
seq_971|1,1,0.9904572619303073
seq_2320|1,1,0.6078741928884804
seq_1537|1,1,0.9802706225646634
seq_1449|1,1,0.9756331554471286
seq_408|1,1,0.9889034150455831
seq_1402|1,1,0.9222310503607662
seq_2699|1,1,0.9642532626931906
seq_2595|1,1,0.8449616091556049
seq_2931|1,1,0.9218021165091335
seq_1891|1,1,0.9205610340754714
seq_1619|1,1,0.9552276556885935
seq_2016|1,1,0.8687861888935563
seq_2733|1,1,0.6661421185231376
seq_2562|1,1,0.9449742912013441
seq_38|1,1,0.9677760838908158
seq_798|1,1,0.9644343343524777
seq_2635|1,1,0.9580556117192044
seq_2898|1,1,0.9558200383043128
seq_1661|1,1,0.9686353004986682
seq_1612|1,1,0.8885116705422271
seq_2259|1,1,0.9755998432920945
seq_2160|1,1,0.9720041329865167
seq_1830|1,1,0.9767535832786305
seq_161|1,1,0.9146281538331896
seq_1720|1,1,0.8235330494577074
seq_2138|1,1,0.9691020782884422
seq_2405|1,1,0.9844347119597773
seq_2704|1,1,0.9307621820730951
seq_2617|1,1,0.9866429089928005
seq_2254|1,1,0.8416213375535928
seq_109|1,1,0.6593841039115302
seq_706|1,1,0.9459666811726057
seq_1621|1,1,0.9269163802324775
seq_1828|1,1,0.9682818898929391
seq_2541|1,1,0.9174104174890245
seq_157|1,1,0.5812405359756522
seq_2870|1,1,0.7191058179477514
seq_858|1,1,0.9830301087780804
seq_648|1,1,0.9618134696730835
seq_1322|1,1,0.9801773473617426
seq_1877|1,0,0.3158637567175546
